dnid,dnname,dnlatitude,dnlongitude,dnradius
4790043030,경상북도 예천군 은풍면 시항리,36.74154188,128.4656243,1.576
4812313400,경상남도 창원시 성산구 용지동,35.23263624,128.6814946,0.313
4122012800,경기도 평택시 고덕동,37.04392854,127.0393185,3.102
2671025927,부산광역시 기장군 일광읍 칠암리,35.29932082,129.2562036,0.508
4825012500,경상남도 김해시 부곡동,35.21208684,128.7958029,2.104
4825012600,경상남도 김해시 무계동,35.2000567,128.8152527,1.121
4159012900,경기도 화성시 오산동,37.19089331,127.0946066,1.82
4783025321,경상북도 고령군 대가야읍 쾌빈리,35.7425627,128.2645994,1.501
4793040026,경상북도 울진군 매화면 기양리,36.89572859,129.3588388,3.281
4480025629,충청남도 홍성군 홍북읍 갈산리,36.66420243,126.715764,1.115
4146125629,경기도 용인시 처인구 이동읍 서리,37.20273492,127.171783,2.892
4159013800,경기도 화성시 방교동,37.17273301,127.08812,1.456
4812314100,경상남도 창원시 성산구 퇴촌동,35.24212238,128.6758879,0.477
4167034523,경기도 여주시 세종대왕면 왕대리,37.31211153,127.6040111,2.868
4167034530,경기도 여주시 세종대왕면 광대리,37.259876,127.57619,1.526
2671025922,부산광역시 기장군 일광읍 이천리,35.27540047,129.241596,1.484
4415012700,충청남도 공주시 동현동,36.47863492,127.1816156,1.771
4713031525,경상북도 경주시 문무대왕면 죽전리,35.75403596,129.3991775,1.698
4159026200,경기도 화성시 남양읍,37.20819118,126.8218175,7.692
4873025327,경상남도 함안군 칠원읍 용정리,35.28985017,128.5246974,2.342
4873025330,경상남도 함안군 칠원읍 운곡리,35.31357151,128.5599884,2.141
4793039022,경상북도 울진군 금강송면 하원리,36.95037953,129.2735646,3.604
4793040024,경상북도 울진군 매화면 덕신리,36.87575503,129.4050796,1.577
2671025925,부산광역시 기장군 일광읍 문중리,35.30334961,129.2533245,0.604
4679039522,전라남도 화순군 백아면 옥리,35.15974184,127.0858633,2.016
4679039527,전라남도 화순군 백아면 송단리,35.18132712,127.1734326,2.515
4679039530,전라남도 화순군 백아면 이천리,35.1673341,127.1261451,1.514
4725032529,경상북도 상주시 사벌국면 매협리,36.4828322,128.2551851,1.439
3611011800,세종특별자치시 세종시 집현동,36.4992754,127.3292593,2.259
4719025625,경상북도 구미시 산동읍 신당리,36.153371,128.4350853,1.635
4817013700,경상남도 진주시 충무공동,35.17524922,128.1415952,1.64
4873025323,경상남도 함안군 칠원읍 유원리,35.29440084,128.4889583,2.3
2671025628,부산광역시 기장군 정관읍 용수리,35.33389011,129.1732714,2.162
4122025928,경기도 평택시 청북읍 어연리,37.04749405,126.9822081,1.454
4480025623,충청남도 홍성군 홍북읍 봉신리,36.62587039,126.6676432,1.434
3171026221,울산광역시 울주군 청량읍 덕하리,35.48459098,129.2882864,2.067
4167034533,경기도 여주시 세종대왕면 신지리,37.29065266,127.5795301,1.802
4420025300,충청남도 아산시 배방읍,36.75413757,127.068471,5.89
4420025321,충청남도 아산시 배방읍 중리,36.74327833,127.0400581,1.283
4420025322,충청남도 아산시 배방읍 수철리,36.72130784,127.0551869,2.45
4420025323,충청남도 아산시 배방읍 신흥리,36.75264006,127.0441898,1.766
4420025324,충청남도 아산시 배방읍 공수리,36.76695144,127.0525306,1.834
4420025325,충청남도 아산시 배방읍 북수리,36.76743486,127.0704895,1.963
4420025326,충청남도 아산시 배방읍 회룡리,36.74819964,127.0670101,1.35
4420025327,충청남도 아산시 배방읍 세출리,36.7364534,127.0769456,1.796
